image file,number of fibers,mean fiber size (pixels),fiber variance (pixels),total fiber area (pixels),subtracted area (pixels),number of fast fibers,number of slow fibers
/Users/piquantlyjenn/Desktop/work/TAEDL/DTA/modified/15536_332_0.tif,2693,588.368362421,174556.9538,1584476,8745220,2690,3
/Users/piquantlyjenn/Desktop/work/TAEDL/DTA/modified/15537_333_0.tif,2069,673.262445626,211537.130252,1392980,6884148,2068,1
/Users/piquantlyjenn/Desktop/work/TAEDL/DTA/modified/15538_334_0.tif,1791,584.691792295,156026.520307,1047183,6365613,1790,1
/Users/piquantlyjenn/Desktop/work/TAEDL/DTA/modified/15539_335_1.tif,2816,444.804332386,123219.378973,1252569,7729215,2815,1
/Users/piquantlyjenn/Desktop/work/TAEDL/DTA/modified/15732_336_1.tif,2189,577.777523984,175734.966037,1264755,6784329,2186,3
/Users/piquantlyjenn/Desktop/work/TAEDL/DTA/modified/15733_337_1.tif,2480,417.128629032,154788.350793,1034479,7840709,2476,4
/Users/piquantlyjenn/Desktop/work/TAEDL/DTA/modified/15734_338_1.tif,2751,644.956743003,185417.929427,1774276,8093728,2751,0
/Users/piquantlyjenn/Desktop/work/TAEDL/DTA/modified/15735_339_0.tif,2603,678.157126393,188697.70447,1765243,6793349,2590,13
/Users/piquantlyjenn/Desktop/work/TAEDL/DTA/modified/15858_340_1.tif,2946,630.451120163,193516.739125,1857309,6156620,2946,0
/Users/piquantlyjenn/Desktop/work/TAEDL/DTA/modified/16185_341_0.tif,2991,541.32631227,153077.412745,1619107,8091125,2987,4
/Users/piquantlyjenn/Desktop/work/TAEDL/DTA/modified/16395_342_1.tif,3091,553.730507926,173092.29004,1711581,8233059,3091,0
/Users/piquantlyjenn/Desktop/work/TAEDL/DTA/modified/16398_343_0.tif,2601,676.259515571,204830.614313,1758951,8544861,2592,9
/Users/piquantlyjenn/Desktop/work/TAEDL/DTA/modified/16399_344_0.tif,3231,583.967502321,169350.194858,1886799,7169785,3229,2
/Users/piquantlyjenn/Desktop/work/TAEDL/DTA/modified/16817_345_1.tif,2748,652.876637555,261428.953122,1794105,10161841,2748,0
/Users/piquantlyjenn/Desktop/work/TAEDL/DTA/modified/16818_346_1.tif,2277,580.161176987,234332.874769,1321027,7046414,2275,2
